rx;tx;name;norad_id
248.945;302.545;75.5°E UFO F11;28117
248.955;302.555;75.5°E UFO F11;28117
248.965;302.565;75.5°E UFO F11;28117
248.990;302.525;75.5°E UFO F11;28117
249.000;302.600;75.5°E UFO F11;28117
249.010;;75.5°E UFO F11;28117
249.050;302.650;75.5°E UFO F11;28117
249.100;302.700;75.5°E UFO F11;28117
249.235;302.835;75.5°E UFO F11;28117
249.245;302.845;75.5°E UFO F11;28117
249.255;302.855;75.5°E UFO F11;28117
249.265;302.865;75.5°E UFO F11;28117
249.275;302.875;75.5°E UFO F11;28117
249.285;302.885;75.5°E UFO F11;28117
249.295;302.895;75.5°E UFO F11;28117
249.305;302.905;75.5°E UFO F11;28117
249.315;302.915;75.5°E UFO F11;28117
249.325;302.925;75.5°E UFO F11;28117
249.335;302.935;75.5°E UFO F11;28117
249.345;302.945;75.5°E UFO F11;28117
249.355;302.955;75.5°E UFO F11;28117
250.350;294.875;75.5°E UFO F11;28117
250.700;295.050;75.5°E UFO F11;28117
251.000;296.500;75.5°E UFO F11;28117
251.350;298.225;75.5°E UFO F11;28117
251.850;292.850;75.5°E UFO F11;28117
253.550;294.550;75.5°E UFO F11;28117
253.625;295.450;75.5°E UFO F11;28117
253.675;294.425;75.5°E UFO F11;28117
254.000;298.630;75.5°E UFO F11;28117
255.250;296.250;75.5°E UFO F11;28117
255.275;297.400;75.5°E UFO F11;28117
256.850;297.850;75.5°E UFO F11;28117
257.175;298.125;75.5°E UFO F11;28117
258.025;317.975;75.5°E UFO F11;28117
258.350;299.350;75.5°E UFO F11;28117
258.500;299.500;75.5°E UFO F11;28117
258.650;299.650;75.5°E UFO F11;28117
260.375;293.975;75.5°E UFO F11;28117
260.450;297.575;75.5°E UFO F11;28117
260.475;294.075;75.5°E UFO F11;28117
260.500;317.130;75.5°E UFO F11;28117
260.550;293.800;75.5°E UFO F11;28117
260.625;294.225;75.5°E UFO F11;28117
260.725;295.350;75.5°E UFO F11;28117
260.950;;75.5°E UFO F11;28117
261.575;295.175;75.5°E UFO F11;28117
261.675;295.275;75.5°E UFO F11;28117
261.700;296.525;75.5°E UFO F11;28117
261.775;307.075;75.5°E UFO F11;28117
261.875;295.475;75.5°E UFO F11;28117
261.950;294.625;75.5°E UFO F11;28117
261.975;294.000;75.5°E UFO F11;28117
262.950;310.700;75.5°E UFO F11;28117
263.050;312.700;75.5°E UFO F11;28117
263.575;297.175;75.5°E UFO F11;28117
263.600;317.140;75.5°E UFO F11;28117
263.675;297.275;75.5°E UFO F11;28117
263.725;298.525;75.5°E UFO F11;28117
263.750;317.150;75.5°E UFO F11;28117
263.800;297.250;75.5°E UFO F11;28117
263.825;297.425;75.5°E UFO F11;28117
263.925;297.525;75.5°E UFO F11;28117
265.250;306.250;75.5°E UFO F11;28117
265.325;295.100;75.5°E UFO F11;28117
265.375;295.200;75.5°E UFO F11;28117
265.475;295.500;75.5°E UFO F11;28117
265.550;306.550;75.5°E UFO F11;28117
265.675;306.675;75.5°E UFO F11;28117
265.850;306.850;75.5°E UFO F11;28117
266.300;315.500;75.5°E UFO F11;28117
266.750;316.575;75.5°E UFO F11;28117
266.975;297.500;75.5°E UFO F11;28117
267.025;297.350;75.5°E UFO F11;28117
267.225;308.050;75.5°E UFO F11;28117
267.400;294.900;75.5°E UFO F11;28117
267.575;297.625;75.5°E UFO F11;28117
268.150;309.150;75.5°E UFO F11;28117
268.450;297.150;75.5°E UFO F11;28117
269.650;310.650;75.5°E UFO F11;28117
269.725;295.150;75.5°E UFO F11;28117
269.925;295.550;75.5°E UFO F11;28117
269.950;294.325;75.5°E UFO F11;28117
245.850;314.230;95.0°E Skynet 5A;30794
249.450;299.000;95.0°E Skynet 5A;30794
249.970;295.000;95.0°E Skynet 5A;30794
250.200;;95.0°E Skynet 5A;30794
257.600;305.950;95.0°E Skynet 5A;30794
261.100;298.380;95.0°E Skynet 5A;30794
245.150;294.500;25.1°E Skynet 5B;32294
245.800;309.410;25.1°E Skynet 5B;32294
249.490;312.850;25.1°E Skynet 5B;32294
249.560;298.760;25.1°E Skynet 5B;32294
249.580;298.740;25.1°E Skynet 5B;32294
249.930;308.750;25.1°E Skynet 5B;32294
250.090;312.600;25.1°E Skynet 5B;32294
250.150;;25.1°E Skynet 5B;32294
250.750;300.300;25.1°E Skynet 5B;32294
250.950;299.500;25.1°E Skynet 5B;32294
252.750;306.300;25.1°E Skynet 5B;32294
253.300;307.800;25.1°E Skynet 5B;32294
253.600;316.250;25.1°E Skynet 5B;32294
260.250;314.400;25.1°E Skynet 5B;32294
261.200;294.950;25.1°E Skynet 5B;32294
261.400;316.550;25.1°E Skynet 5B;32294
263.400;316.400;25.1°E Skynet 5B;32294
263.450;311.400;25.1°E Skynet 5B;32294
263.500;315.200;25.1°E Skynet 5B;32294
253.825;294.050;17.8°W Skynet 5C;33055
256.875;293.950;17.8°W Skynet 5C;33055
252.350;310.225;11.8°E SICRAL1B;34810
252.400;293.275;11.8°E SICRAL1B;34810
252.450;293.200;11.8°E SICRAL1B;34810
252.500;309.800;11.8°E SICRAL1B;34810
252.550;310.400;11.8°E SICRAL1B;34810
252.625;309.925;11.8°E SICRAL1B;34810
259.975;309.700;11.8°E SICRAL1B;34810
260.025;310.575;11.8°E SICRAL1B;34810
260.075;310.275;11.8°E SICRAL1B;34810
260.125;310.125;11.8°E SICRAL1B;34810
260.175;294.600;11.8°E SICRAL1B;34810
267.875;310.525;11.8°E SICRAL1B;34810
267.950;310.075;11.8°E SICRAL1B;34810
268.000;310.500;11.8°E SICRAL1B;34810
268.050;310.325;11.8°E SICRAL1B;34810
268.100;293.325;11.8°E SICRAL1B;34810
243.625;316.725;63.0°E ComSatBw-1;35943
244.275;301.025;63.0°E ComSatBw-1;35943
244.975;293.000;63.0°E ComSatBw-1;35943
249.400;300.975;63.0°E ComSatBw-1;35943
255.775;315.100;63.0°E ComSatBw-1;35943
259.000;317.925;63.0°E ComSatBw-1;35943
260.650;297.100;63.0°E ComSatBw-1;35943
243.625;300.400;13.2°E ComSatBw-2;36582
248.750;311.975;13.2°E ComSatBw-2;36582
250.900;314.950;13.2°E ComSatBw-2;36582
253.600;315.260;13.2°E ComSatBw-2;36582
254.775;317.825;13.2°E ComSatBw-2;36582
257.450;305.950;13.2°E ComSatBw-2;36582
259.050;307.450;13.2°E ComSatBw-2;36582
243.800;298.200;72.1°E Intelsat 22;38098
251.575;308.450;72.1°E Intelsat 22;38098
252.150;293.150;72.1°E Intelsat 22;38098
252.300;293.300;72.1°E Intelsat 22;38098
253.725;293.725;72.1°E Intelsat 22;38098
253.975;294.975;72.1°E Intelsat 22;38098
254.025;308.350;72.1°E Intelsat 22;38098
254.500;308.100;72.1°E Intelsat 22;38098
254.530;308.130;72.1°E Intelsat 22;38098
254.625;295.625;72.1°E Intelsat 22;38098
255.650;306.630;72.1°E Intelsat 22;38098
255.675;296.675;72.1°E Intelsat 22;38098
255.850;296.850;72.1°E Intelsat 22;38098
256.975;316.850;72.1°E Intelsat 22;38098
257.075;297.450;72.1°E Intelsat 22;38098
257.775;311.375;72.1°E Intelsat 22;38098
261.600;306.975;72.1°E Intelsat 22;38098
261.650;309.650;72.1°E Intelsat 22;38098
261.750;295.400;72.1°E Intelsat 22;38098
261.800;297.600;72.1°E Intelsat 22;38098
261.850;300.275;72.1°E Intelsat 22;38098
261.900;307.750;72.1°E Intelsat 22;38098
262.025;316.650;72.1°E Intelsat 22;38098
245.950;313.000;52.0°E Skynet 5D;39034
247.450;298.800;52.0°E Skynet 5D;39034
249.890;300.500;52.0°E Skynet 5D;39034
253.950;312.800;52.0°E Skynet 5D;39034
254.730;312.550;52.0°E Skynet 5D;39034
256.450;313.850;52.0°E Skynet 5D;39034
257.700;316.150;52.0°E Skynet 5D;39034
260.900;313.050;52.0°E Skynet 5D;39034
262.000;314.200;52.0°E Skynet 5D;39034
252.200;310.155;37.0°E SICRAL 2;40614
252.250;316.350;37.0°E SICRAL 2;40614
267.100;308.100;37.0°E SICRAL 2;40614
267.150;308.150;37.0°E SICRAL 2;40614
267.200;308.200;37.0°E SICRAL 2;40614
267.250;308.250;37.0°E SICRAL 2;40614
